voucher_code,category,claimed,redeemed
BAMBOO100,Vận tải - Giao vận,10.0,10.0
BAMBOO1000,Vận tải - Giao vận,1.0,1.0
BAMBOO500,Vận tải - Giao vận,3.0,3.0
FLASHSALE12_BILLPAY30K,0,0.0,16.0
INNISFREE_04012023,0,1.0,0.0
MAA_ANMIENSPATANBINH_24012024_SF4576,Sức khỏe - Làm đẹp,12.0,0.0
MAA_ANMIENSPA_24012024_SF4567,Sức khỏe - Làm đẹp,32.0,2.0
MAA_ANMIENSPA_24012024_SF4568,Sức khỏe - Làm đẹp,17.0,0.0
MAA_ANSSPA_24012024_SF4569,Sức khỏe - Làm đẹp,20.0,0.0
MAA_ANSSPA_24012024_SF4572,Sức khỏe - Làm đẹp,4.0,1.0
MAA_AROMA_20012024_SF4489,Giáo dục,11.0,1.0
MAA_AURABOX_25122023_SF4354,Sức khỏe - Làm đẹp,21.0,0.0
MAA_AURABOX_30122023_SF4421,Sức khỏe - Làm đẹp,22.0,3.0
MAA_BEPLANH_12012024_SF4494,Ẩm thực,174.0,6.0
MAA_CASHION_28122023_SF4388,Thời trang và Phong cách sống,54.0,10.0
MAA_COMTHOBACHKHOA_01122023_SF4282,Ẩm thực,524.0,53.0
MAA_COOLMATE_01122023_SF4236,Thời trang và Phong cách sống,114.0,28.0
MAA_COOLMATE_01122023_SF4248,Thời trang và Phong cách sống,211.0,56.0
MAA_COOLMATE_110122024_TangAo,Thời trang và Phong cách sống,248.0,45.0
MAA_COOLMATE_110122024_giam15,Thời trang và Phong cách sống,150.0,28.0
MAA_DECATHLON_10112023_31012024,Thời trang và Phong cách sống,44.0,9.0
MAA_DECATHLON_10112023_SF4194,Thời trang và Phong cách sống,18.0,3.0
MAA_DECATHLON_10112023_SF4195,Thời trang và Phong cách sống,13.0,3.0
MAA_DIAG_30112023_SF4274,Ẩm thực,482.0,62.0
MAA_DINGTEA_08122023_SF4280_CL,Ẩm thực,283.0,17.0
MAA_DINGTEA_08122023_SF4281,Ẩm thực,294.0,91.0
MAA_DINGTEA_08122023_SF4366,Ẩm thực,54.0,2.0
MAA_DLYNKCLINIC_24012024_SF4564,Sức khỏe - Làm đẹp,50.0,5.0
MAA_DLYNKCLINIC_24012024_SF4565,Sức khỏe - Làm đẹp,7.0,1.0
MAA_ELSASPEAK_24102023_SF4121,Giáo dục,27.0,2.0
MAA_ELSASPEAK_24102023_SF4122,Giáo dục,13.0,0.0
MAA_EMIMIEBYHAPPYSKIN_25122023_SF4373,Sức khỏe - Làm đẹp,81.0,4.0
MAA_EMMIEBYHAPPYSKIN_25122023_SF4371,Sức khỏe - Làm đẹp,8.0,1.0
MAA_EMMIEBYHAPPYSKIN_25122023_SF4372,Sức khỏe - Làm đẹp,39.0,2.0
MAA_GENSOLUTION_25122023_SF4415,Sức khỏe - Làm đẹp,5.0,1.0
MAA_GENSOLUTION_25122023_SF4416,Sức khỏe - Làm đẹp,5.0,0.0
MAA_GENSOLUTION_25122023_SF4417,Sức khỏe - Làm đẹp,4.0,0.0
MAA_GENSOLUTION_25122023_SF4418,Sức khỏe - Làm đẹp,3.0,0.0
MAA_GOCHEAP_12082023_SF3668,Vận tải - Giao vận,7.0,0.0
MAA_GOGIHOUSE_27012024_SF4579,Ẩm thực,150.0,108.0
MAA_GONGCHA_20012024_SF4488,Ẩm thực,1675.0,96.0
MAA_GONGCHA_27122023_SF4345,Ẩm thực,3674.0,238.0
MAA_GRAB_13102023_SF4014,Bán lẻ FMCG,0.125,0.125
MAA_GRAB_13102023_SF4014,Mẹ & bé,0.125,0.125
MAA_GRAB_13102023_SF4014,Sức khỏe - Làm đẹp,0.125,0.125
MAA_GRAB_13102023_SF4014,Thương mại điện tử,0.125,0.125
MAA_GRAB_13102023_SF4014,Thời trang và Phong cách sống,0.125,0.125
MAA_GRAB_13102023_SF4014,Tiện ích - Nhà mạng,0.125,0.125
MAA_GRAB_13102023_SF4014,Vận tải - Giao vận,0.125,0.125
MAA_GRAB_13102023_SF4014,Ẩm thực,0.125,0.125
MAA_HAPPYSKINBEAUTYCLINIC_25122023_SF4401,Sức khỏe - Làm đẹp,23.0,1.0
MAA_HAPPYSKINBEAUTYCLINIC_25122023_SF4402,Sức khỏe - Làm đẹp,81.0,3.0
MAA_HOMBEAUTY_01112023_SF4124,Sức khỏe - Làm đẹp,86.0,5.0
MAA_HOMBEAUTY_24012024_SF4563,Sức khỏe - Làm đẹp,26.0,2.0
MAA_KFC_01012024_SF4346,Ẩm thực,11073.0,2360.0
MAA_KFC_01012024_SF4349,Ẩm thực,6769.0,1656.0
MAA_LISASPA_24012024_SF4566,Sức khỏe - Làm đẹp,26.0,0.0
MAA_LONGHAIRSALON_01112023_SF4135,Sức khỏe - Làm đẹp,72.0,6.0
MAA_MANWAH_27012024_SF4582,Ẩm thực,150.0,87.0
MAA_MHJCLINIC_01112023_SF4125,Sức khỏe - Làm đẹp,155.0,16.0
MAA_NAGAKAWA_25122023_SF4395,Nhà cửa - Đời sống,24.0,6.0
MAA_NAGAKAWA_25122023_SF4398,Nhà cửa - Đời sống,6.0,2.0
MAA_OKINIWELLNESSSPA_24012024_SF4573,Sức khỏe - Làm đẹp,8.0,0.0
MAA_OKINIWELLNESSSPA_24012024_SF4574,Sức khỏe - Làm đẹp,18.0,0.0
MAA_PMTAESTHETICCLINIC_01112023_SF4126,Sức khỏe - Làm đẹp,100.0,10.0
MAA_SAPPACADEMY_30122023_SF4423,Giáo dục,20.0,4.0
MAA_SCOTSENGLISH_05122023_SF4420,Giáo dục,44.0,0.0
MAA_SCOTSENGLISH_25102023_SF4391,Giáo dục,48.0,2.0
MAA_SMILEBEAUTY_30122023_SF4426,Sức khỏe - Làm đẹp,25.0,0.0
MAA_SMILEBEAUTY_30122023_SF4427,Sức khỏe - Làm đẹp,997.0,58.0
MAA_SUACHUATRANCHAUHALONG_20012024_SF4497,Ẩm thực,1950.0,37.0
MAA_SUNHOUSE_27122023_SF4353,Nhà cửa - Đời sống,48.0,10.0
MAA_THAODIENSALONHAIRSPABEAUTY_01112023_SF4127,Sức khỏe - Làm đẹp,309.0,24.0
MAA_THAODIENSALONHAIRSPABEAUTY_01112023_SF4142,Sức khỏe - Làm đẹp,30.0,4.0
MAA_TORANO_24102023_SF4102,Thời trang và Phong cách sống,412.0,16.0
MAA_TORANO_24102023_SF4112,Thời trang và Phong cách sống,212.0,16.0
MAA_TORANO_24102023_SF4113,Thời trang và Phong cách sống,51.0,1.0
MAA_TORANO_24102023_SF4114,Thời trang và Phong cách sống,56.0,1.0
MAA_TORANO_24102023_SF4120,Thời trang và Phong cách sống,49.0,4.0
MAA_TRANGBEAUTYNAILCARE_01112023_SF4128,Sức khỏe - Làm đẹp,49.0,5.0
MAA_TRANGBEAUTYNAILCARE_01112023_SF4129,Sức khỏe - Làm đẹp,85.0,10.0
MAA_TUELAMBEAUTY_24012024_SF4562,Sức khỏe - Làm đẹp,41.0,3.0
MAA_USNAILSPACALABEAUTYCENTER_24012024_SF4575,Sức khỏe - Làm đẹp,29.0,0.0
MAA_VENESA_22012024_SF4606,Sức khỏe - Làm đẹp,6.0,0.0
MAA_VUANEM_01022024_SF4596,Nhà cửa - Đời sống,82.0,19.0
MAA_VUANEM_01092023_SF3801,Nhà cửa - Đời sống,121.0,48.0
MAA_WONHEEKOREA_01112023_SF4130,Sức khỏe - Làm đẹp,15.0,3.0
MAA_WONHEEKOREA_01112023_SF4132,Sức khỏe - Làm đẹp,64.0,8.0
MAA_YENSPA_01112023_SF4137,Sức khỏe - Làm đẹp,9.0,2.0
MAA_YENSPA_01112023_SF4138,Sức khỏe - Làm đẹp,35.0,3.0
MAA_YENTRANGBEAUTY_24012024_SF4577,Sức khỏe - Làm đẹp,16.0,1.0
MAA_YENTRANGBEAUTY_24012024_SF4578,Sức khỏe - Làm đẹp,2.0,0.0
MAA_YUACADEMY_01112023_SF4139,Sức khỏe - Làm đẹp,70.0,3.0
MAP_CITiGYM_27062023_SF3464,Sức khỏe - Làm đẹp,73.0,12.0
MA_ADIDAS_20012024_SF4501,Sức khỏe - Làm đẹp,155.0,9.0
MA_ADIDAS_20012024_SF4501,Thời trang và Phong cách sống,155.0,9.0
MA_AHAMOVE_01122023_SF4262,Vận tải - Giao vận,100.0,56.0
MA_AHAMOVE_01122023_SF4266,Vận tải - Giao vận,0.0,4.0
MA_AIRBIKE_12012024_SF4435,Khác,21.0,4.5
MA_AIRBIKE_12012024_SF4435,Nhà cửa - Đời sống,21.0,4.5
MA_AMAREWELLNESSCENTER_01122023_SF4285,Sức khỏe - Làm đẹp,27.0,2.0
MA_ASAP_21122023_SF4364,Sức khỏe - Làm đẹp,11.0,3.0
MA_BEAR_24102023_SF4144,Nhà cửa - Đời sống,27.0,5.0
MA_BEGROUP_30012024_SF4561,Vận tải - Giao vận,300.0,129.0
