date,calendar_dim_id,action
2024-01-01,2260,2260
2024-01-02,5082,5082
2024-01-03,7190,7190
2024-01-04,4792,4792
2024-01-05,4663,4663
2024-01-06,4459,4459
2024-01-07,4328,4328
2024-01-08,3214,3214
2024-01-09,3219,3219
2024-01-10,2854,2854
2024-01-11,2915,2915
2024-01-12,3063,3063
2024-01-13,3590,3590
2024-01-14,3519,3519
2024-01-15,2501,2501
2024-01-16,2707,2707
2024-01-17,3198,3198
2024-01-18,3605,3605
2024-01-19,3563,3563
2024-01-20,3437,3437
2024-01-21,2622,2622
2024-01-22,2313,2313
2024-01-23,2312,2312
2024-01-24,3103,3103
2024-01-25,3324,3324
2024-01-26,3098,3098
2024-01-27,3384,3384
2024-01-28,3403,3403
2024-01-29,2686,2686
2024-01-30,3162,3162
2024-01-31,3337,3337
2024-02-01,5493,5493
2024-02-02,4965,4965
2024-02-03,5354,5354
2024-02-04,4577,4577
2024-02-05,4402,4402
2024-02-06,4742,4742
2024-02-07,5402,5402
2024-02-08,3473,3473
2024-02-09,2090,2090
2024-02-10,2028,2028
2024-02-11,2071,2071
2024-02-12,2499,2499
2024-02-13,3119,3119
2024-02-14,4273,4273
2024-02-15,4046,4046
2024-02-16,3852,3852
2024-02-17,3838,3838
2024-02-18,3391,3391
2024-02-19,3568,3568
2024-02-20,3638,3638
2024-02-21,3168,3168
2024-02-22,3494,3494
2024-02-23,2994,2994
2024-02-24,2979,2979
2024-02-25,3226,3226
2024-02-26,2412,2412
2024-02-27,2525,2525
2024-02-28,2582,2582
2024-02-29,2241,2241
