date,calendar_dim_id,action
2024-01-01,935,935
2024-01-02,1260,1260
2024-01-03,1522,1522
2024-01-04,1325,1325
2024-01-05,1497,1497
2024-01-06,1726,1726
2024-01-07,1809,1809
2024-01-08,1250,1250
2024-01-09,1244,1244
2024-01-10,1241,1241
2024-01-11,1158,1158
2024-01-12,1336,1336
2024-01-13,1578,1578
2024-01-14,1711,1711
2024-01-15,1216,1216
2024-01-16,1405,1405
2024-01-17,1490,1490
2024-01-18,1554,1554
2024-01-19,1392,1392
2024-01-20,1681,1681
2024-01-21,1484,1484
2024-01-22,1142,1142
2024-01-23,1116,1116
2024-01-24,1352,1352
2024-01-25,1637,1637
2024-01-26,1464,1464
2024-01-27,1770,1770
2024-01-28,2031,2031
2024-01-29,1466,1466
2024-01-30,1976,1976
2024-01-31,1876,1876
2024-02-01,1909,1909
2024-02-02,2107,2107
2024-02-03,2248,2248
2024-02-04,2307,2307
2024-02-05,2117,2117
2024-02-06,2696,2696
2024-02-07,3011,3011
2024-02-08,1669,1669
2024-02-09,926,926
2024-02-10,639,639
2024-02-11,659,659
2024-02-12,762,762
2024-02-13,1298,1298
2024-02-14,2002,2002
2024-02-15,1687,1687
2024-02-16,1759,1759
2024-02-17,1754,1754
2024-02-18,1578,1578
2024-02-19,1786,1786
2024-02-20,1837,1837
2024-02-21,1639,1639
2024-02-22,1814,1814
2024-02-23,1597,1597
2024-02-24,1665,1665
2024-02-25,1851,1851
2024-02-26,1372,1372
2024-02-27,1415,1415
2024-02-28,1554,1554
2024-02-29,1296,1296
