voucher_code,total_stock,display_date_from,display_date_to,claimed,redeemed,claim_rate,redeem_rate,discount_type
MAA_GOGIHOUSE_27012024_SF4579,150.0,2024-01-27 10:00:00,2024-07-28 23:59:00,150.0,108.0,1.0,0.72,Cash Voucher
xXC8900,400.0,2024-01-11 16:30:00,2024-04-24 23:59:00,400.0,263.0,1.0,0.6575,Cash Voucher
xXC12555,700.0,2024-01-11 16:30:00,2024-05-07 23:59:00,700.0,459.0,1.0,0.6557142857142857,Cash Voucher
xXC9242,400.0,2024-01-11 16:30:00,2024-04-24 23:59:00,400.0,256.0,1.0,0.64,Cash Voucher
xXC2654,909.0,2020-11-16 13:36:00,2024-05-07 23:59:00,700.0,575.0,0.77007700770077,0.6325632563256326,Cash Voucher
MAA_MANWAH_27012024_SF4582,150.0,2024-01-27 10:00:00,2024-07-28 23:59:00,150.0,87.0,1.0,0.58,Cash Voucher
MA_KATINATCAFE_30012024_SF4559,300.0,2024-01-27 10:00:00,2024-07-29 23:59:00,300.0,160.0,1.0,0.5333333333333333,Cash Voucher
MA_HIGHLANDS_02012024_SF4406,20000.0,2024-01-02 10:00:00,2024-01-31 23:59:00,18436.0,8826.0,0.9218,0.4413,Discount Fixed Amount (For Total Bill)
MA_BEGROUP_30012024_SF4561,300.0,2024-01-27 10:00:00,2025-01-30 23:59:00,300.0,129.0,1.0,0.43,Cash Voucher
MA_PNJ_12012024_SF4480,12000.0,2024-01-19 10:00:00,2024-05-20 23:59:00,6262.0,5092.0,0.5218333333333334,0.42433333333333334,Discount Percentage (For SKU)
MAA_GRAB_13102023_SF4014,3.0,2023-10-19 10:00:00,2024-01-31 23:59:00,1.0,1.0,0.3333333333333333,0.3333333333333333,Cash Voucher
MA_HIGHLANDS_01022024_SF4602,20000.0,2024-02-01 10:00:00,2024-02-29 23:59:00,16579.0,6635.0,0.82895,0.33175,Discount Fixed Amount (For Total Bill)
MA_HIGHLANDS_01022024_SF4599,20000.0,2024-02-01 10:00:00,2024-02-29 23:59:00,13539.0,6151.0,0.67695,0.30755,Discount Fixed Amount (For Total Bill)
xXC5162,180.0,2023-12-11 10:00:00,2024-03-27 23:59:00,0.0,52.0,0.0,0.28888888888888886,Cash Voucher
xXC10766,180.0,2023-12-11 10:00:00,2024-03-27 23:59:00,0.0,52.0,0.0,0.28888888888888886,Cash Voucher
MA_AHAMOVE_01122023_SF4262,200.0,2023-12-01 00:00:00,2024-01-31 23:59:00,100.0,56.0,0.5,0.28,Discount Percentage (For SKU)
xXC12557,330.0,2023-11-22 10:00:00,2024-03-27 23:59:00,0.0,86.0,0.0,0.2606060606060606,Cash Voucher
MA_SHISEIDO_05112023_SF4140,1000.0,2023-10-31 10:00:00,2024-03-31 21:00:00,831.0,257.0,0.831,0.257,Discount Fixed Amount (For Total Bill)
xXC4760,180.0,2023-12-11 10:00:00,2024-03-27 23:59:00,0.0,45.0,0.0,0.25,Cash Voucher
MA_HIGHLANDS_02012024_SF4410,20000.0,2024-01-02 10:00:00,2024-01-31 23:59:00,10301.0,4492.0,0.51505,0.2246,Discount Fixed Amount (For Total Bill)
MA_PNJ_12012024_SF4479,20000.0,2024-01-19 10:00:00,2024-05-20 23:59:00,6459.0,4361.0,0.32295,0.21805,Discount Percentage (For SKU)
MA_GSM_18092023_SF3856,3001.0,2023-09-23 10:00:00,2024-04-30 23:59:00,769.0,654.0,0.2562479173608797,0.21792735754748419,Cash Voucher
xXC4783,150.0,2023-11-22 10:00:00,2024-02-23 23:59:00,0.0,32.0,0.0,0.21333333333333335,Cash Voucher
xXC618,735.0,2021-11-15 10:00:00,2024-07-01 23:59:00,200.0,156.0,0.272108843537415,0.21224489795918366,Cash Voucher
MA_PNJSILVER_12012024_SF4478,7000.0,2024-01-19 10:00:00,2024-05-20 23:59:00,2000.0,1440.0,0.2857142857142857,0.2057142857142857,Discount Percentage (For SKU)
MAA_SAPPACADEMY_30122023_SF4423,20.0,2024-01-03 10:00:00,2024-02-08 23:59:00,20.0,4.0,1.0,0.2,Discount Fixed Amount (For Total Bill)
MAA_KFC_01012024_SF4346,12000.0,2024-01-01 10:00:00,2024-03-31 23:59:00,11073.0,2360.0,0.92275,0.19666666666666666,Discount Fixed Amount (For Total Bill)
xXC5181,100.0,2023-11-23 10:00:00,2024-01-27 23:59:00,0.0,18.0,0.0,0.18,Cash Voucher
MA_HIGHLANDS_02012024_SF4475,20000.0,2024-01-17 10:00:00,2024-01-31 23:59:00,7138.0,3393.0,0.3569,0.16965,Discount Fixed Amount (For Total Bill)
MA_BIODERMA_21122023_SF4338,400.0,2023-12-26 10:00:00,2024-02-14 23:59:00,390.0,64.0,0.975,0.16,Discount Percentage (For SKU)
MA_MERRIMAN_28092023_SF3886,853.0,2023-10-15 10:00:00,2024-02-29 23:59:00,158.0,134.0,0.18522860492379836,0.1570926143024619,Discount Fixed Amount (For Total Bill)
xXC5218,350.0,2023-11-23 10:00:00,2025-10-13 23:59:00,127.0,54.0,0.3628571428571429,0.15428571428571428,Cash Voucher
MA_BTASKEE_02062023_SF3423,10000.0,2023-06-02 10:00:00,2024-02-29 23:59:00,3742.0,1535.0,0.3742,0.1535,Discount Percentage (For SKU)
xXC11629,100.0,2023-10-17 14:00:00,2024-01-18 23:59:00,0.0,14.0,0.0,0.14,Cash Voucher
VIETNAMAIRLINES_30122020_1,1191.0,2020-12-28 17:15:00,2024-12-31 23:59:00,166.0,166.0,0.13937867338371115,0.13937867338371115,Cash Voucher
MAA_KFC_01012024_SF4349,12000.0,2024-01-01 10:00:00,2024-03-31 23:59:00,6769.0,1656.0,0.5640833333333334,0.138,Discount Fixed Amount (For Total Bill)
xXC12543,250.0,2023-11-08 11:04:00,2099-12-31 23:59:00,132.0,34.0,0.528,0.136,Cash Voucher
MAA_DINGTEA_08122023_SF4281,700.0,2023-12-11 10:00:00,2024-01-10 23:59:00,294.0,91.0,0.42,0.13,Buy 1 get 1
MA_OBAGI_21122023_SF4358,400.0,2023-12-26 10:00:00,2024-02-14 23:59:00,392.0,43.0,0.98,0.1075,Discount Percentage (For SKU)
xXC8791,250.0,2023-06-22 15:56:00,2099-12-31 23:59:00,133.0,26.0,0.532,0.104,Cash Voucher
xXC3467,1421.0,2021-06-01 00:00:00,2024-04-24 23:59:00,200.0,147.0,0.14074595355383532,0.10344827586206896,Cash Voucher
MA_BTASKEE_02062023_SF3424,4000.0,2023-06-02 10:00:00,2024-02-29 23:59:00,695.0,408.0,0.17375,0.102,Discount Fixed Amount (For SKU)
xXC6438,103.0,2023-10-11 15:00:00,2024-01-31 23:59:00,0.0,10.0,0.0,0.0970873786407767,Cash Voucher
xXC5086,186.0,2021-11-15 10:00:00,2024-06-11 23:59:00,0.0,18.0,0.0,0.0967741935483871,Cash Voucher
MA_CANIFA_17012024_SF4518,1200.0,2024-01-17 10:00:00,2024-02-29 23:59:00,1200.0,115.0,1.0,0.09583333333333334,Discount Fixed Amount (For Total Bill)
MA_GSM_18092023_SF3852,2193.0,2023-09-23 10:00:00,2024-04-30 23:59:00,185.0,209.0,0.084359325125399,0.0953032375740994,Cash Voucher
